
# Surface 0 of 1 surfaces

# Curve title: "'./Scan/propanol/0-1-6-10-11/RIMP2/scanw.txt' u 1:2:($3-w)"
# Contour 0, label:      7.5
-16.4184  158.464  5 
-16.3929  158.54  5 
-15.7532  160.286  5 
-15.1246  162.107  5 
-14.5714  163.826  5 
-14.5348  163.929  5 
-13.9307  165.75  5 
-13.3784  167.571  5 
-12.8869  169.393  5 
-12.75  169.977  5 
-12.4238  171.214  5 
-12.0218  173.036  5 
-11.7009  174.857  5 
-11.4617  176.679  5 
-11.3026  178.5  5 

-19.2276 -36.4286  5 
-20.0357 -34.9711  5 
-20.2273 -34.6071  5 
-21.2001 -32.7857  5 
-21.8571 -31.5644  5 
-22.1672 -30.9643  5 
-23.1066 -29.1429  5 
-23.6786 -28.0263  5 
-24.0284 -27.3214  5 
-24.9199 -25.5  5 
-25.5 -24.2944  5 
-25.789 -23.6786  5 
-26.6237 -21.8571  5 
-27.3214 -20.2919  5 
-27.4336 -20.0357  5 
-28.2011 -18.2143  5 
-28.9348 -16.3929  5 
-29.1429 -15.842  5 
-29.617 -14.5714  5 
-30.2442 -12.75  5 
-30.8205 -10.9286  5 
-30.9643 -10.4267  5 
-31.3413 -9.10714  5 
-31.806 -7.28571  5 
-32.2119 -5.46429  5 
-32.555 -3.64286  5 
-32.7857 -2.11965  5 
-32.8311 -1.82143  5 
-33.0362  7.44738e-13  5 
-33.167  1.82143  5 
-33.2224  3.64286  5 
-33.2024  5.46429  5 
-33.1069  7.28571  5 
-32.9357  9.10714  5 
-32.7857  10.2159  5 
-32.6887  10.9286  5 
-32.3654  12.75  5 
-31.965  14.5714  5 
-31.4853  16.3929  5 
-30.9643  18.1001  5 
-30.9288  18.2143  5 
-30.2974  20.0357  5 
-29.6021  21.8571  5 
-29.1429  22.9702  5 
-28.8443  23.6786  5 
-28.0269  25.5  5 
-27.3214  26.9894  5 
-27.1598  27.3214  5 
-26.2366  29.1429  5 
-25.5  30.5485  5 
-25.2749  30.9643  5 
-24.2692  32.7857  5 
-23.6786  33.8447  5 
-23.2365  34.6071  5 
-22.1823  36.4286  5 
-21.8571  36.9973  5 
-21.107  38.25  5 
-20.043  40.0714  5 
-20.0357  40.0843  5 
-18.9566  41.8929  5 
-18.2143  43.1984  5 
-17.9004  43.7143  5 
-16.856  45.5357  5 
-16.3929  46.4041  5 
-15.8417  47.3571  5 
-14.8728  49.1786  5 
-14.5714  49.8019  5 
-13.9307  51  5 
-13.0583  52.8214  5 
-12.75  53.5527  5 
-12.2276  54.6429  5 
-11.4741  56.4643  5 
-10.9286  58.033  5 
-10.8249  58.2857  5 
-10.2175  60.1071  5 
-9.74873  61.9286  5 
-9.42072  63.75  5 
-9.23651  65.5714  5 
-9.19889  67.3929  5 
-9.30878  69.2143  5 
-9.56437  71.0357  5 
-9.96091  72.8571  5 
-10.491  74.6786  5 
-10.9286  75.8978  5 
-11.1087  76.5  5 
-11.748  78.3214  5 
-12.483  80.1429  5 
-12.75  80.7306  5 
-13.2309  81.9643  5 
-14.016  83.7857  5 
-14.5714  84.9717  5 
-14.8331  85.6071  5 
-15.6293  87.4286  5 
-16.3929  89.1094  5 
-16.45  89.25  5 
-17.199  91.0714  5 
-17.9559  92.8929  5 
-18.2143  93.5081  5 
-18.6787  94.7143  5 

-11.2088 -178.5  5 
-11.2528 -176.679  5 
-11.3736 -174.857  5 
-11.5704 -173.036  5 
-11.8409 -171.214  5 
-12.1809 -169.393  5 
-12.5845 -167.571  5 
-12.75 -166.917  5 
-13.012 -165.75  5 
-13.4622 -163.929  5 
-13.9476 -162.107  5 
-14.4679 -160.286  5 
-14.5714 -159.945  5 
-14.9804 -158.464  5 
-15.5092 -156.643  5 
-16.0572 -154.821  5 
-16.3929 -153.73  5 
-16.6001 -153  5 
-17.1188 -151.179  5 
-17.6278 -149.357  5 
-18.123 -147.536  5 
-18.2143 -147.19  5 
-18.5814 -145.714  5 
-19.0192 -143.893  5 
-19.4375 -142.071  5 
-19.8305 -140.25  5 
-20.0357 -139.215  5 
-20.1846 -138.429  5 
-20.4927 -136.607  5 
-20.7581 -134.786  5 
-20.9771 -132.964  5 
-21.1479 -131.143  5 
-21.2697 -129.321  5 
-21.3415 -127.5  5 
-21.3618 -125.679  5 
-21.3286 -123.857  5 
-21.2395 -122.036  5 
-21.0924 -120.214  5 
-20.8862 -118.393  5 
-20.6223 -116.571  5 
-20.3038 -114.75  5 
-20.0357 -113.425  5 
-19.9309 -112.929  5 
-19.4995 -111.107  5 
